,Open,High,Low,Close,Volume,TradingDate,H-L,O-C,ME_5,ME_10,ME_15,ME_20,ME_25,ME_30,RANK_5,RANK_10,RANK_15,RANK_20,RANK_25,RANK_30,VAR_5,VAR_10,VAR_15,VAR_20,VAR_25,VAR_30,SMA_5,SMA_10,SMA_15,SMA_20,SMA_25,SMA_30,SD_5,SD_10,SD_15,SD_20,SD_25,SD_30,Ske_5,Ske_10,Ske_15,Ske_20,Ske_25,Ske_30,Kur_5,Kur_10,Kur_15,Kur_20,Kur_25,Kur_30
29,73500.0,73900.0,72600.0,73800.0,709751,2022-10-17,1300.0,-300.0,73000.0,74000.0,76500.0,77250.0,78400.0,81000.0,4.0,4.0,4.0,4.0,4.0,4.0,1468000.0,5371555.555555542,8441142.857142719,15080499.999999825,18199166.66666654,20097241.379310276,72840.0,74460.0,75840.0,77505.0,78720.0,79700.0,1211.6104984688768,2317.661656833357,2905.364496434607,3883.3619455311946,4266.04813224916,4482.994688744375,-0.9054087317516089,0.48966828322601974,0.1110880246852077,0.026672966512876428,-0.2575585822899552,-0.4635360125427572,0.21360317769082826,-0.4822834375368445,-0.9549105981702356,-1.2846061381088383,-1.3611475662274461,-1.2180606758912975
30,74000.0,75300.0,74000.0,74900.0,880847,2022-10-18,1300.0,-900.0,73800.0,74000.0,74900.0,77000.0,78000.0,80500.0,5.0,8.0,8.0,8.0,8.0,8.0,922000.0,4291111.111111097,6803809.523809373,13418526.315789288,17209766.666666526,19472057.471264288,73620.0,74200.0,75466.66666666667,77080.0,78332.0,79336.66666666667,960.2083107326243,2071.4997251052428,2608.4113026532787,3663.1306714051693,4148.4655797856785,4412.7154305783515,0.04879635309410526,0.7215818494595914,0.17877003339808498,0.1555866445844156,-0.13850074657128275,-0.3659115982658377,-0.5458048776356215,1.0757223759558283,-0.6083006474649696,-1.1794751731097972,-1.4245096680757015,-1.3637712314132036
31,74900.0,76200.0,74700.0,75500.0,1025903,2022-10-19,1500.0,-600.0,74000.0,74000.0,74900.0,76750.0,77500.0,79450.0,5.0,9.0,9.0,9.0,9.0,9.0,953000.0,2425444.444444429,6315714.285714133,11994105.263157697,16084933.333333181,19146712.643678073,74240.0,73910.0,75300.0,76740.0,77992.0,79053.33333333333,976.2171889492624,1557.3838462127535,2513.108490637468,3463.250678648269,4010.6026147367406,4375.695675395865,0.12640608210272444,-0.238037374516723,0.34539200731071873,0.3066635374678969,-0.01993353481196277,-0.23647264783139582,-0.9597240177095804,0.4817044344880261,-0.1327871099599976,-0.8861624589684562,-1.4000393502569437,-1.4270725724040731
32,75800.0,78500.0,75300.0,77800.0,1733758,2022-10-20,3200.0,-2000.0,74900.0,74000.0,74900.0,76750.0,77500.0,78200.0,5.0,10.0,13.0,14.0,14.0,14.0,2585000.0,3342666.6666666516,6552666.666666513,9987657.894736638,14670899.999999844,18203091.9540229,75200.0,74040.0,75353.33333333333,76485.0,77756.0,78836.66666666667,1607.7935190813528,1828.296110225762,2559.8177018425577,3160.3255994812685,3830.261087706665,4266.508168751456,1.3137170050670521,0.5286418081087206,0.3073296464961776,0.24228778546500399,0.02840422909791081,-0.16136292690460372,1.6578983810931238,1.4968156403872115,-0.35058851566031335,-0.7120226414702396,-1.2778866263280482,-1.3772619933813224
33,77700.0,77700.0,73900.0,73900.0,1569208,2022-10-21,3800.0,3800.0,74900.0,73950.0,74000.0,76000.0,77000.0,77900.0,2.0,5.0,5.0,5.0,5.0,5.0,2647000.0,3344555.5555555406,4604095.238095078,8307789.473683995,14229433.333333166,17889896.551724054,75180.0,74030.0,74913.33333333333,76060.0,77412.0,78490.0,1626.960356001338,1828.8126081027385,2145.7155538642764,2882.3236240373835,3772.1921124636756,4229.644967573999,1.2839237777415864,0.5486385137998209,0.07936911848124009,0.2670341528418841,0.1895043038042804,-0.039925605918941336,1.5352319489213688,1.5087374665496651,-0.762919529948046,-0.6727459416179163,-1.2011666958546878,-1.412062589002454
34,73900.0,74500.0,71000.0,71100.0,1429975,2022-10-24,3500.0,2800.0,74900.0,73850.0,74000.0,75200.0,77000.0,77650.0,1.0,2.0,2.0,2.0,2.0,2.0,5968000.0,4204888.888888872,5165999.999999838,7760421.052631351,14301433.333333151,18276275.862068877,74640.0,73740.0,74520.0,75540.0,76932.0,78040.0,2442.9490375363953,2050.5825730481747,2272.8836309850617,2785.7532289546666,3781.723592931291,4275.076123540828,-0.3589212849036517,0.5182852508731176,0.21922005238296813,0.16003359984856896,0.2395899985779998,0.0022681448860492333,1.0407837560824842,0.49438968969820046,-0.664299261188693,-0.7197351418737393,-1.0626917486688237,-1.3716757987359058
35,71400.0,74500.0,71100.0,73200.0,1567991,2022-10-25,3400.0,-1800.0,73900.0,73850.0,74000.0,74450.0,76500.0,77250.0,2.0,4.0,5.0,5.0,5.0,5.0,6325000.0,3349333.333333318,4568095.238095076,6613552.63157871,12965233.33333314,17450758.620689567,74300.0,73960.0,74233.33333333333,75175.0,76524.0,77660.0,2514.9552679918584,1830.1183932558347,2137.3102811934154,2571.682840394342,3600.7267784897454,4177.410516179798,0.27346292966962976,0.7383913280885237,0.48809412408481123,0.21624420839772313,0.3357718127557473,0.09512010148192178,0.0764704967363959,1.4555723683733908,-0.015061035679015808,-0.6220063897474402,-0.9676767389879251,-1.3842508735785528
36,74500.0,74500.0,72700.0,73800.0,626989,2022-10-26,1800.0,700.0,73800.0,73850.0,73900.0,74000.0,75500.0,77000.0,3.0,4.5,6.5,6.5,6.5,6.5,5883000.0,3059999.9999999856,3240666.666666499,6246605.263157649,11763899.999999793,16458896.551724048,73960.0,74100.0,73926.66666666667,74965.0,76184.0,77320.0,2425.48964128895,1749.285568453586,1800.1851756601316,2499.3209604125777,3429.8542243074694,4056.956562711024,0.9573727010573317,0.6431196942844081,0.38955677276003564,0.42215942493489356,0.4738611940890061,0.20105162131128082,2.281545204985806,2.066089254316105,0.6215242164016527,-0.2634438115001445,-0.705308297026688,-1.334521892680358
37,74100.0,76200.0,73700.0,75800.0,938494,2022-10-27,2500.0,-1700.0,73800.0,73950.0,73900.0,74000.0,75500.0,76750.0,5.0,9.0,14.0,14.0,14.0,14.0,2843000.0,3159555.555555542,3015999.999999832,6061552.631578701,9806666.666666454,15063229.885057382,73560.0,74380.0,73880.0,74905.0,75900.0,77056.66666666667,1686.1198059449987,1777.5138693004737,1736.6634676873443,2462.022061554019,3131.559781748778,3881.137704985148,-0.31648193031754285,0.17123818732206028,0.3622336144477318,0.4921472658963836,0.47233337111874146,0.2817304578953863,1.5624048482125101,1.3560417935296607,0.9643071871795238,-0.03876998669538049,-0.509001112505302,-1.201165754373652
38,76300.0,76300.0,74700.0,75000.0,878087,2022-10-28,1600.0,1300.0,73800.0,74400.0,73900.0,74000.0,75000.0,76150.0,4.0,7.0,12.0,13.0,13.0,13.0,3272000.0,3175111.111111098,3099809.523809359,4334842.105262901,7988733.333333112,14122712.643678075,73780.0,74480.0,73946.66666666667,74630.0,75604.0,76806.66666666667,1808.8670487352022,1781.8841463773952,1760.6275937316668,2082.028363222485,2826.434738912808,3758.0197769141764,-0.6607460246053753,-0.033517860367286184,0.23769383476624736,0.12189874945018968,0.43290873044240874,0.40616102773489754,0.2389710283893566,1.2778037089340057,0.6685590237970783,-0.5265073764042615,-0.4028328064092019,-0.9986875301074714
39,75000.0,76000.0,73700.0,75600.0,1087300,2022-10-31,2300.0,-600.0,75000.0,74950.0,73900.0,74000.0,75000.0,75700.0,4.0,8.0,13.0,15.0,15.0,15.0,1292000.0,3227111.1111110966,3282666.6666665073,4083578.9473681613,6482266.666666438,12742540.229884975,74680.0,74660.0,74053.33333333333,74560.0,75368.0,76556.66666666667,1136.6617790706257,1796.416185384416,1811.8130882258542,2020.7867149623094,2546.0295887256375,3569.669484684118,-0.4842816099041428,-0.3686642802972953,0.07669412478374257,0.1609655795430988,0.33298813647723,0.4955170577164916,-2.2355241744864807,1.2403823720732763,0.20802882460943897,-0.2595281378389722,-0.29982158716097596,-0.7507542099146746
