,Open,High,Low,Close,Volume,TradingDate,H-L,O-C,ME_5,ME_10,ME_15,ME_20,ME_25,ME_30,RANK_5,RANK_10,RANK_15,RANK_20,RANK_25,RANK_30,VAR_5,VAR_10,VAR_15,VAR_20,VAR_25,VAR_30,SMA_5,SMA_10,SMA_15,SMA_20,SMA_25,SMA_30,SD_5,SD_10,SD_15,SD_20,SD_25,SD_30,Ske_5,Ske_10,Ske_15,Ske_20,Ske_25,Ske_30,Kur_5,Kur_10,Kur_15,Kur_20,Kur_25,Kur_30
29,8100.0,8240.0,7930.0,8200.0,2776468,2022-10-17,310.0,-100.0,7940.0,8175.0,8750.0,9305.0,10250.0,10725.0,5.0,6.0,6.0,6.0,6.0,6.0,44550.0,296395.5555555555,1516526.6666666751,2343146.315789479,2062877.666666671,1903558.1609195431,7960.0,8342.0,9038.666666666666,9649.0,9871.2,10059.333333333334,211.06870919205434,544.4222217686889,1231.4733722929925,1530.7339141044333,1436.2721422720247,1379.6949521251222,0.15127972017251823,0.9031775247548537,1.020061591049268,0.2676342749458492,-0.15031574739366327,-0.45898330721520053,-2.856949593200996,-0.02825986624939958,0.2719861036960323,-1.5498791890286892,-1.4880548494969135,-1.260414119534076
30,8400.0,8620.0,8320.0,8350.0,3302214,2022-10-18,300.0,50.0,8150.0,8175.0,8350.0,9105.0,9900.0,10650.0,5.0,8.0,8.0,8.0,8.0,8.0,53550.0,243601.111111111,949083.8095238184,2352998.9473684262,2113347.6666666716,1926576.5517241412,8080.0,8277.0,8808.666666666666,9529.0,9773.2,9956.0,231.40872930812267,493.559632781198,974.2093253114642,1533.9488085879614,1453.7357623263836,1388.011726075879,-0.4625991715235336,1.3801005440186938,0.9879462491679589,0.47014209965541864,0.011502924610101661,-0.3171917654404908,-0.8443272733930177,2.2907725703342683,0.2078121384319091,-1.417247403901147,-1.5551271780336955,-1.4043215081421108
31,8410.0,8430.0,8200.0,8210.0,1928041,2022-10-19,230.0,200.0,8200.0,8175.0,8330.0,8875.0,9400.0,10425.0,4.0,7.0,7.0,7.0,7.0,7.0,22050.0,88239.99999999994,594620.9523809619,2264358.9473684267,2150200.666666672,1968058.5057471301,8170.0,8158.0,8622.666666666666,9377.0,9665.6,9856.333333333334,148.49242404917499,297.0521839677331,771.1166918054373,1504.7787037861835,1466.3562550303634,1402.875085582152,-0.7956001144545759,0.4160911530254826,0.9145149284503673,0.7090591197866118,0.1755163151614329,-0.17544910316427412,1.9025097567371614,0.7098612262013668,-0.13019962984265823,-1.059091226607458,-1.5485269921914162,-1.5039276028620072
32,8210.0,8230.0,7950.0,8000.0,1841171,2022-10-20,280.0,210.0,8200.0,8145.0,8210.0,8550.0,9210.0,10075.0,1.0,4.0,4.0,4.0,4.0,4.0,15870.0,45823.3333333333,409049.5238095336,2017158.9473684274,2199107.333333339,2047166.5517241424,8182.0,8083.0,8472.666666666666,9187.0,9553.6,9763.0,125.9761882261882,214.06385340204753,639.5697958859014,1420.2672098476496,1482.9387490160675,1430.792281124043,-0.2692520320950394,-0.508044250421531,0.9969244675809918,0.9483737394477585,0.3320159700706122,-0.04668315617573259,1.4079304557468941,-0.91659851553021,0.14766321301219748,-0.48303273732901786,-1.4892388460828598,-1.576132143235931
33,8040.0,8040.0,7440.0,7440.0,3742011,2022-10-21,600.0,600.0,8200.0,8075.0,8200.0,8340.0,9000.0,9650.0,1.0,1.0,1.0,1.0,1.0,1.0,128050.0,85956.66666666666,310883.80952381965,1811866.052631586,2312772.666666673,2183188.6206896603,8040.0,8013.0,8308.666666666666,8976.5,9423.2,9651.0,357.8407467016578,293.183673942917,557.5695557720308,1346.0557390507965,1520.7802821797345,1477.5617146805275,-1.611906806304732,-0.7496685923979282,0.64802959442883,1.1536727139455232,0.4471789370117496,0.04539216037216164,2.697843375255632,-0.12142844389315906,-0.208674828577627,0.33312728421318366,-1.3669428066820069,-1.566527687329685
34,7400.0,7500.0,6920.0,6920.0,2804679,2022-10-24,580.0,480.0,8000.0,7970.0,8150.0,8270.0,8750.0,9305.0,1.0,1.0,1.0,1.0,1.0,1.0,353330.0,185439.9999999999,365625.7142857248,1502521.052631587,2493583.333333341,2381864.3678160976,7784.0,7872.0,8156.0,8725.0,9276.0,9523.333333333334,594.4156794701836,430.6274491947766,604.6699217637047,1225.7736547305897,1579.1083982213954,1543.3289888471925,-0.8272276601265882,-1.2864022762501037,0.13068097499627998,1.110785692356044,0.5051692437701258,0.08829298929722632,-0.9010522331944095,1.6247324431612913,0.9001448744361092,0.9394667964197696,-1.1761864251484515,-1.4616194472698767
35,6510.0,7300.0,6440.0,6790.0,3911447,2022-10-25,860.0,-280.0,7440.0,7970.0,8140.0,8205.0,8350.0,9105.0,1.0,1.0,1.0,1.0,1.0,1.0,398570.0,303626.6666666666,424769.5238095345,1135868.1578947455,2634427.333333342,2564803.3333333405,7472.0,7776.0,8008.666666666667,8474.5,9117.6,9389.666666666666,631.3240055629122,551.0232904938471,651.7434493798419,1065.7711564377905,1623.0919053871662,1601.5003382245477,0.10548240116514192,-1.0033961954447606,-0.036651631060226515,0.7340167824462258,0.5878361559421499,0.14554049605032862,-2.621428227082505,-0.32888053440011283,0.9816855491603761,0.4694936761961405,-0.9533501939079847,-1.3725344431470077
36,6890.0,6930.0,6320.0,6320.0,2333669,2022-10-26,610.0,570.0,6920.0,7970.0,8000.0,8175.0,8330.0,8875.0,1.0,1.0,1.0,1.0,1.0,1.0,415580.0,516106.66666666657,445009.5238095346,986847.1052631676,2730562.3333333433,2786959.6551724225,7094.0,7632.0,7803.333333333333,8240.5,8920.4,9237.0,644.6549464636101,718.4056421456241,667.0903415651695,993.4017844070785,1652.4413252316535,1669.418957353852,0.4479994222302775,-0.8461392016430787,-1.0173020727319009,0.14940949023725553,0.6310372872953925,0.16623209286423363,-0.35370686328364914,-0.8120310106371049,0.43281513175331227,0.06479518769861493,-0.5863735912594017,-1.208785810216681
37,6490.0,6760.0,6360.0,6760.0,2361058,2022-10-27,400.0,-270.0,6790.0,7720.0,7940.0,8145.0,8210.0,8550.0,2.0,2.0,2.0,2.0,2.0,2.0,161380.0,574582.222222222,439892.3809523919,857625.2631579053,2537194.3333333447,2895528.8505747225,6846.0,7514.0,7670.666666666667,8066.0,8718.8,9102.333333333334,401.721296423279,758.0120198402014,663.2438322007916,926.0805921505457,1592.857285927821,1701.6253555276855,0.40906199045807007,-0.35207027000495,-0.8932930170701312,-0.01607486756546761,0.7389558446108658,0.26930725013379214,1.6539126739026717,-1.748548408117576,-0.5769795464699147,-0.20616326815338742,-0.21104747900986612,-1.1535409535964056
38,6880.0,7100.0,6880.0,6900.0,2578733,2022-10-28,220.0,-20.0,6790.0,7180.0,7760.0,8070.0,8200.0,8340.0,4.0,4.0,4.0,4.0,4.0,4.0,59320.0,554165.5555555554,459260.00000001106,728467.3684210638,2279427.666666679,2958163.333333344,6738.0,7389.0,7588.0,7916.0,8528.8,8975.666666666666,243.55697485393432,744.4229681810975,677.687243498069,853.5029984839325,1509.77735665451,1719.9312001743976,-1.8054444589741336,0.10000919495347131,-0.5614758791581158,-0.15767874884862254,0.869791265658825,0.3907813134120446,3.481682602877567,-1.7978919017400965,-1.185043794770361,-0.6006346663040083,0.30186686911155547,-1.0704798001048808
