,Unnamed: 0,Open,High,Low,Close,Volume,TradingDate,H-L,O-C,AR,ME_7,ME_14,ME_21,ME_28,RANK_7,RANK_14,RANK_21,RANK_28,VAR_7,VAR_14,VAR_21,VAR_28,SMA_7,SMA_14,SMA_21,SMA_28,SD_7,SD_14,SD_21,SD_28,Ske_7,Ske_14,Ske_21,Ske_28,Kur_7,Kur_14,Kur_21,Kur_28
27,27,23800.0,23800.0,23565.0,23565.0,461630,2007-01-22,235.0,235.0,1.0,21640.0,20128.0,19245.0,19067.5,7.0,14.0,21.0,28.0,954405.5714284815,3142175.3626373415,3623786.1619047485,3803631.164021161,22066.714285714286,20549.14285714286,19717.809523809523,19283.85714285714,976.9368308281153,1772.6182224713086,1903.6244802756526,1950.2900204895582,0.1459407655241388,0.18208076768722212,0.6088488435142813,0.5173660963366848,-0.34383372818650315,-1.066292440320676,-0.7502269919323495,-0.194884554260455
28,28,23565.0,23643.0,23565.0,23643.0,243990,2007-01-23,78.0,-78.0,-1.0,22701.0,21110.0,19441.0,19166.0,7.0,14.0,21.0,28.0,801477.5714284694,3046835.34615382,4191249.561904748,3951115.7076719557,22498.714285714286,20975.5,19981.47619047619,19567.178571428572,895.252797498265,1745.5186467505353,2047.254151761512,1987.7413583441776,0.2397723908671052,0.2182641376159149,0.47642695458944906,0.6774347212935246,-1.951041052923825,-1.4493285885529446,-0.9946644102574671,-0.4412850445076485
29,29,23643.0,23643.0,22779.0,22779.0,156420,2007-01-24,864.0,864.0,1.0,22701.0,21620.5,19441.0,19245.0,5.0,12.0,19.0,26.0,660783.9523808459,2741180.417582386,4122227.5476190336,3931382.6177248666,22661.428571428572,21278.428571428572,20247.04761904762,19791.60714285714,812.8861866096913,1655.6510555012449,2030.3269558420964,1982.771448686123,-0.24888613048481847,0.010060582765964018,0.3384801583008996,0.6331362395608929,-1.1803548845626928,-1.6203733216622933,-1.2590866714882902,-0.7887372520581434
31,31,22387.0,23133.0,22387.0,22779.0,129240,2007-01-26,746.0,-392.0,-1.903061224489796,22779.0,22170.5,20619.0,19441.0,4.0,11.0,18.0,25.0,440152.1428570322,2250356.065934025,4240222.03333332,4136778.3743386245,22840.85714285714,21769.285714285714,20660.333333333332,20150.678571428572,663.4396301526102,1500.1186839493819,2059.179941950999,2033.9071695479674,-0.6706386897266358,-0.6076518487201745,-0.05851709351945927,0.3541053341624378,1.2698313696450854,-0.9467713481563155,-1.4506267254486462,-1.2513901164293726
32,32,22976.0,23761.0,22976.0,23761.0,201310,2007-01-29,785.0,-785.0,-1.0,22779.0,22701.0,21601.0,19539.0,7.0,14.0,21.0,28.0,233809.1428570256,1953292.5934065455,4500048.390476177,4548733.358465609,23143.85714285714,22091.85714285714,20894.095238095237,20317.60714285714,483.53815036357327,1397.6024446911022,2121.3317492735964,2132.7759747487803,0.41594749151354166,-0.7861676526733063,-0.21365506068229018,0.2521272147574027,-2.5810909863206524,-0.3207349463006294,-1.3923310785567158,-1.377305209426303
33,33,24743.0,25137.0,24939.0,24939.0,324420,2007-01-30,198.0,-196.0,-1.010204081632653,23565.0,22740.0,21640.0,19539.0,7.0,14.0,21.0,28.0,618958.285714161,1870218.4175823615,4805733.247619035,5304803.772486772,23463.571428571428,22484.571428571428,21221.380952380954,20492.928571428572,786.7390200785525,1367.559292163364,2192.1982683185925,2303.2159630583433,1.0937066031374423,-0.4105088653210065,-0.22668622415450804,0.27605969501507904,1.1858941569694352,0.41454364212258316,-1.0731214937304792,-1.2944609136869978
34,34,25057.0,25332.0,25057.0,25332.0,310330,2007-01-31,275.0,-275.0,-1.0,23643.0,22779.0,21640.0,20128.0,7.0,14.0,21.0,28.0,1124740.999999869,1691952.4010988371,4719932.590476176,6042525.4232804235,23716.0,22891.35714285714,21604.761904761905,20717.35714285714,1060.5380709808908,1300.750706745469,2172.5405843104922,2458.154881873887,0.7005142200651172,0.27291124919785803,-0.12034883514658082,0.24364730630577008,-1.2058845907226867,-0.05753886984523149,-0.9989772311680906,-1.2455476794446667
35,35,25411.0,25411.0,24350.0,24350.0,114910,2007-02-01,1061.0,1061.0,1.0,23761.0,22779.0,22701.0,21110.0,5.0,12.0,19.0,26.0,1178944.3333331996,1381930.901098832,4218088.13333332,6227136.386243385,23817.0,23157.85714285714,21922.666666666668,20940.35714285714,1085.792030424427,1175.5555712508158,2053.7984646340838,2495.4230876232964,0.3072891645973702,0.3812635152934826,-0.14059635910431356,0.11213333776841382,-1.9027206815036002,-0.5546595957437669,-1.1455311449492602,-1.3234743881902071
37,37,24350.0,24350.0,23526.0,23526.0,110440,2007-02-05,824.0,824.0,1.0,24350.0,23545.5,22779.0,21640.0,2.0,7.0,14.0,21.0,801833.9047617596,1307585.8021977278,3611499.1333333226,5953423.920634918,24204.285714285714,23438.428571428572,22412.666666666668,21406.071428571428,895.4517880722332,1143.497180668902,1900.3944678232788,2439.9639178961065,-0.42388164385947935,-0.00542513947474208,-0.40320405192266123,-0.09466653897306097,-0.7761328655570722,-0.6737817861406469,-0.8360414755623209,-1.3401187231605434
38,38,23172.0,24547.0,23172.0,24547.0,195540,2007-02-06,1375.0,-1375.0,-1.0,24547.0,23604.0,22779.0,22170.5,4.0,11.0,18.0,25.0,408411.809523656,1094729.2087911302,3270631.02857142,6034306.480158727,24456.85714285714,23648.85714285714,22665.14285714286,21609.464285714286,639.071052015076,1046.2930797779034,1808.4886033844448,2456.4825422051604,-0.3023971139045832,-0.1284316204001955,-0.5461091426659882,-0.23269654447968616,-0.8318670358128522,-0.580158471339387,-0.5403924193159149,-1.2864767380118034
39,39,23800.0,24939.0,23800.0,24939.0,116470,2007-02-07,1139.0,-1139.0,-1.0,24743.0,23702.0,22779.0,22701.0,5.5,12.5,19.5,26.5,333412.476190317,852542.7307691479,2867089.1142857084,6114266.793650789,24625.14285714286,23884.5,22936.285714285714,21826.85714285714,577.4188048464624,923.3324053498544,1693.248095904941,2472.7043482088166,-1.1302512119239356,0.06804563405985337,-0.6118539529266784,-0.36025477521796795,1.8816824539246668,-1.4636469273588009,-0.28039262754441285,-1.1709822619060746
43,43,24822.0,24822.0,24350.0,24743.0,160600,2007-02-13,472.0,79.0,5.974683544303797,23722.0,24055.5,23643.0,22779.0,6.0,10.5,17.5,24.5,711032.6666665276,818693.8736262893,1164092.8333333337,3669470.691798935,23952.0,24024.785714285714,23570.333333333332,22651.60714285714,843.2275295947871,904.81703875772,1078.931338562994,1915.586252769354,-0.4838294702978093,-0.32225310042484623,-0.152912322044064,-0.5964189235701111,-0.37781566533153493,-1.164878175159225,-0.8138825803906282,-0.7643779244336796
