,Open,High,Low,Close,Volume,TradingDate
0,14129.0,14129.0,13246.0,14129.0,2830,2008-12-22
1,14718.0,14718.0,14718.0,14718.0,3010,2008-12-23
2,15454.0,15454.0,15454.0,15454.0,1000,2008-12-24
3,16190.0,16190.0,16190.0,16190.0,156010,2008-12-25
4,16924.0,16925.0,16484.0,16925.0,304910,2008-12-26
5,17661.0,17661.0,17661.0,17661.0,84900,2008-12-29
6,18542.0,18544.0,18397.0,18544.0,214180,2008-12-30
7,19278.0,19280.0,18544.0,18544.0,90760,2008-12-31
8,17807.0,17808.0,17661.0,17661.0,56640,2009-01-02
9,17956.0,17956.0,16778.0,17956.0,126260,2009-01-05
10,17954.0,18103.0,17514.0,17956.0,71980,2009-01-06
11,17954.0,18544.0,17808.0,17956.0,130500,2009-01-07
12,17659.0,17956.0,17514.0,17661.0,122040,2009-01-08
13,17956.0,17956.0,17514.0,17956.0,67890,2009-01-09
14,17808.0,17808.0,17661.0,17808.0,29120,2009-01-12
15,17514.0,17661.0,17367.0,17514.0,24510,2009-01-13
16,17661.0,17661.0,17367.0,17661.0,59340,2009-01-14
17,17367.0,17661.0,17367.0,17367.0,19640,2009-01-15
18,17365.0,17661.0,17220.0,17661.0,48230,2009-01-16
19,17659.0,17661.0,17514.0,17661.0,41160,2009-01-19
20,17661.0,17661.0,17367.0,17661.0,29590,2009-01-20
21,17661.0,17661.0,17514.0,17661.0,40490,2009-01-21
22,17807.0,17808.0,17661.0,17808.0,28710,2009-01-22
23,17807.0,17808.0,17661.0,17808.0,13740,2009-01-23
24,17661.0,17808.0,17661.0,17661.0,43260,2009-02-02
25,17659.0,17661.0,17367.0,17367.0,53540,2009-02-03
26,17218.0,17514.0,17073.0,17073.0,14340,2009-02-04
27,16924.0,17073.0,16337.0,16337.0,49100,2009-02-05
28,16335.0,16484.0,16190.0,16484.0,19160,2009-02-06
29,16924.0,17220.0,16778.0,17220.0,18660,2009-02-09
30,17218.0,17220.0,16778.0,17073.0,17980,2009-02-10
31,17073.0,17073.0,16631.0,17073.0,28390,2009-02-11
32,17808.0,17808.0,17073.0,17808.0,154380,2009-02-12
33,17659.0,17661.0,17220.0,17220.0,22450,2009-02-13
34,17218.0,17220.0,17073.0,17073.0,20700,2009-02-16
35,16777.0,17073.0,16484.0,16484.0,48550,2009-02-17
36,16188.0,16190.0,15748.0,15895.0,52520,2009-02-18
37,15894.0,16190.0,15454.0,15748.0,53290,2009-02-19
38,15599.0,15601.0,15306.0,15454.0,39050,2009-02-20
39,15305.0,15306.0,14718.0,14718.0,52920,2009-02-23
40,14128.0,14129.0,13982.0,13982.0,66240,2009-02-24
41,14628.0,14659.0,14571.0,14659.0,37520,2009-02-25
42,15011.0,15012.0,14129.0,15012.0,13640,2009-02-26
43,15306.0,15454.0,14718.0,15306.0,6810,2009-02-27
44,15011.0,15454.0,14718.0,14865.0,21100,2009-03-02
45,14276.0,14571.0,14276.0,14276.0,13320,2009-03-03
46,14718.0,14718.0,14718.0,14718.0,9880,2009-03-04
47,15305.0,15306.0,15012.0,15159.0,21370,2009-03-05
48,15158.0,15159.0,14718.0,15159.0,12250,2009-03-06
49,15894.0,15895.0,15601.0,15895.0,123110,2009-03-09
50,16482.0,16484.0,15895.0,15895.0,65870,2009-03-10
51,15894.0,16042.0,15748.0,15895.0,28520,2009-03-11
52,15894.0,15895.0,15454.0,15895.0,27830,2009-03-12
