,Open,High,Low,Close,Volume,TradingDate
0,5659.0,5659.0,5659.0,5659.0,20,2008-11-18
1,5376.0,5376.0,5376.0,5376.0,10,2008-11-19
2,5116.0,5116.0,5116.0,5116.0,10,2008-11-20
3,4868.0,4868.0,4868.0,4868.0,10,2008-11-21
4,4633.0,4633.0,4633.0,4633.0,3410,2008-11-24
5,4409.0,4409.0,4409.0,4409.0,3110,2008-11-25
6,4196.0,4196.0,4196.0,4196.0,8110,2008-11-26
7,3997.0,3997.0,3997.0,3997.0,2010,2008-11-27
8,3807.0,3807.0,3807.0,3807.0,2110,2008-11-28
9,3620.0,3620.0,3620.0,3620.0,2500,2008-12-01
10,3443.0,3443.0,3443.0,3443.0,24010,2008-12-02
11,3277.0,3312.0,3277.0,3277.0,205250,2008-12-03
12,3118.0,3180.0,3118.0,3118.0,393620,2008-12-04
13,2996.0,3046.0,2972.0,2985.0,340450,2008-12-05
14,3131.0,3131.0,3131.0,3131.0,41980,2008-12-08
15,3278.0,3278.0,3278.0,3278.0,17600,2008-12-09
16,3204.0,3278.0,3156.0,3278.0,138430,2008-12-10
17,3436.0,3436.0,3375.0,3436.0,141980,2008-12-11
18,3607.0,3607.0,3607.0,3607.0,26950,2008-12-12
19,3779.0,3779.0,3779.0,3779.0,4110,2008-12-15
20,3977.0,3962.0,3791.0,3962.0,367980,2008-12-16
21,3902.0,4122.0,3792.0,3902.0,54180,2008-12-17
22,3916.0,3975.0,3792.0,3902.0,28280,2008-12-18
23,4085.0,4085.0,4085.0,4085.0,23970,2008-12-19
24,4280.0,4280.0,4280.0,4280.0,28460,2008-12-22
25,4506.0,4489.0,4159.0,4489.0,120790,2008-12-23
26,4403.0,4586.0,4293.0,4403.0,84960,2008-12-24
27,4542.0,4524.0,4280.0,4500.0,26100,2008-12-25
28,4664.0,4720.0,4549.0,4647.0,136580,2008-12-26
29,4764.0,4746.0,4562.0,4746.0,49470,2008-12-29
30,4665.0,4892.0,4587.0,4892.0,89600,2008-12-30
31,4848.0,5136.0,4769.0,5136.0,214730,2008-12-31
32,5413.0,5393.0,5356.0,5393.0,92860,2009-01-02
33,5634.0,5613.0,5123.0,5160.0,129310,2009-01-05
34,5193.0,5259.0,4978.0,5076.0,83890,2009-01-06
35,5278.0,5270.0,4903.0,4903.0,62310,2009-01-07
36,4726.0,4903.0,4659.0,4903.0,145290,2009-01-08
37,5013.0,5013.0,4879.0,5013.0,34710,2009-01-09
38,5063.0,5136.0,5014.0,5063.0,22270,2009-01-12
39,4972.0,5015.0,4819.0,4819.0,37270,2009-01-13
40,4701.0,5001.0,4622.0,4647.0,89440,2009-01-14
41,4647.0,4708.0,4622.0,4647.0,47780,2009-01-15
42,4848.0,4879.0,4769.0,4879.0,121950,2009-01-16
43,5033.0,5014.0,4892.0,4990.0,42500,2009-01-19
44,5155.0,5136.0,5002.0,5026.0,98520,2009-01-20
45,4947.0,5014.0,4880.0,4880.0,21580,2009-01-21
46,4892.0,4941.0,4868.0,4892.0,60740,2009-01-22
47,4911.0,4917.0,4868.0,4892.0,28410,2009-01-23
48,4806.0,4892.0,4806.0,4806.0,43650,2009-02-02
49,4701.0,4683.0,4573.0,4573.0,63970,2009-02-03
50,4505.0,4598.0,4353.0,4353.0,41550,2009-02-04
51,4146.0,4146.0,4146.0,4146.0,18000,2009-02-05
52,4280.0,4329.0,3950.0,4280.0,121010,2009-02-06
53,4407.0,4402.0,4280.0,4390.0,27800,2009-02-09
54,4407.0,4390.0,4182.0,4182.0,20780,2009-02-10
55,4012.0,4097.0,4012.0,4012.0,22790,2009-02-11
