,Open,High,Low,Close,Volume,TradingDate
0,11695.0,13157.0,11695.0,11724.0,2401900,2009-07-16
1,11285.0,11402.0,11139.0,11139.0,1002480,2009-07-17
2,10584.0,10584.0,10584.0,10584.0,156560,2009-07-20
3,10057.0,10379.0,10057.0,10204.0,2133390,2009-07-21
4,10379.0,10496.0,10233.0,10350.0,949090,2009-07-22
5,10291.0,10847.0,10291.0,10847.0,758310,2009-07-23
6,11373.0,11373.0,11373.0,11373.0,640060,2009-07-24
7,11929.0,11929.0,11549.0,11929.0,3264870,2009-07-27
8,11929.0,12221.0,11607.0,11636.0,2008120,2009-07-28
9,11285.0,11841.0,11285.0,11285.0,1060730,2009-07-29
10,11052.0,11256.0,10818.0,11081.0,830120,2009-07-30
11,11256.0,11607.0,11227.0,11607.0,1807290,2009-07-31
12,11695.0,11929.0,11549.0,11695.0,1203870,2009-08-03
13,11782.0,11987.0,11695.0,11782.0,1428170,2009-08-04
14,11666.0,11782.0,11578.0,11695.0,1130020,2009-08-05
15,11695.0,11782.0,11549.0,11549.0,1483460,2009-08-06
16,11549.0,11636.0,11461.0,11519.0,668260,2009-08-07
17,11607.0,11695.0,11549.0,11666.0,730910,2009-08-10
18,11607.0,11666.0,11490.0,11519.0,557710,2009-08-11
19,11636.0,11666.0,11461.0,11461.0,1001200,2009-08-12
20,11636.0,11636.0,11461.0,11519.0,1161040,2009-08-13
21,11549.0,11666.0,11519.0,11607.0,878140,2009-08-14
22,11695.0,11753.0,11549.0,11549.0,1534900,2009-08-17
23,11402.0,11549.0,11373.0,11432.0,778860,2009-08-18
24,11432.0,11519.0,11402.0,11432.0,713790,2009-08-19
25,11402.0,11432.0,11344.0,11344.0,867530,2009-08-20
26,11549.0,11695.0,11402.0,11432.0,1127700,2009-08-21
27,11402.0,11490.0,11402.0,11432.0,684140,2009-08-24
28,11402.0,11402.0,11315.0,11344.0,715430,2009-08-25
29,11285.0,11344.0,11285.0,11285.0,635150,2009-08-26
30,11256.0,11285.0,11198.0,11227.0,609730,2009-08-27
31,11256.0,11285.0,11227.0,11285.0,928800,2009-08-28
32,11490.0,11519.0,11256.0,11373.0,763090,2009-08-31
33,11285.0,11344.0,11256.0,11315.0,628060,2009-09-01
34,11168.0,11344.0,11168.0,11198.0,659050,2009-09-03
35,11168.0,11285.0,10964.0,10964.0,683440,2009-09-04
36,10584.0,10876.0,10525.0,10759.0,737000,2009-09-07
37,10818.0,10964.0,10818.0,10964.0,477720,2009-09-08
38,11052.0,11052.0,10905.0,10905.0,324240,2009-09-09
39,10818.0,10876.0,10730.0,10759.0,373890,2009-09-10
40,10759.0,10818.0,10701.0,10701.0,570170,2009-09-11
41,10701.0,10730.0,10642.0,10642.0,598780,2009-09-14
42,10584.0,10818.0,10584.0,10671.0,776350,2009-09-15
43,11198.0,11198.0,10993.0,11198.0,1260580,2009-09-16
44,11402.0,11402.0,11052.0,11110.0,1075010,2009-09-17
45,10818.0,11110.0,10818.0,11110.0,876100,2009-09-18
46,11110.0,11110.0,11052.0,11081.0,852040,2009-09-21
47,10964.0,11022.0,10818.0,10935.0,702320,2009-09-22
48,11110.0,11110.0,10935.0,10935.0,885880,2009-09-23
49,10847.0,10905.0,10818.0,10818.0,444170,2009-09-24
50,10759.0,11110.0,10759.0,11022.0,608020,2009-09-25
51,11110.0,11110.0,10905.0,10905.0,469480,2009-09-28
52,10847.0,10905.0,10788.0,10818.0,484260,2009-09-29
53,10730.0,10818.0,10730.0,10759.0,449040,2009-09-30
54,10701.0,10818.0,10642.0,10642.0,434790,2009-10-01
55,10408.0,10525.0,10321.0,10379.0,592860,2009-10-02
56,10379.0,10525.0,10321.0,10350.0,364210,2009-10-05
57,10379.0,10467.0,10321.0,10321.0,309510,2009-10-06
58,10321.0,10467.0,10321.0,10350.0,245860,2009-10-07
59,10379.0,10379.0,10321.0,10350.0,333010,2009-10-08
60,10379.0,10408.0,10350.0,10379.0,488560,2009-10-09
61,10408.0,10467.0,10379.0,10467.0,448330,2009-10-12
62,10467.0,10496.0,10408.0,10408.0,336930,2009-10-13
63,10379.0,10876.0,10350.0,10876.0,929480,2009-10-14
64,11198.0,11227.0,10818.0,10964.0,1060150,2009-10-15
65,10701.0,10876.0,10701.0,10730.0,347270,2009-10-16
66,10759.0,10759.0,10671.0,10730.0,454800,2009-10-19
67,10759.0,10759.0,10671.0,10730.0,433970,2009-10-20
68,10584.0,10642.0,10555.0,10584.0,384800,2009-10-21
69,10584.0,10701.0,10584.0,10701.0,448640,2009-10-22
70,10818.0,11227.0,10730.0,10818.0,2529720,2009-10-23
71,10818.0,10935.0,10671.0,10671.0,322910,2009-10-26
72,10525.0,10671.0,10408.0,10467.0,470240,2009-10-27
73,10525.0,10671.0,10408.0,10438.0,428140,2009-10-28
74,10233.0,10350.0,10116.0,10145.0,815460,2009-10-29
75,10321.0,10321.0,10087.0,10174.0,523470,2009-10-30
76,9677.0,10057.0,9677.0,9707.0,641990,2009-11-02
77,9648.0,9707.0,9239.0,9239.0,606340,2009-11-03
78,9093.0,9648.0,9093.0,9327.0,466720,2009-11-04
79,9502.0,9765.0,9473.0,9765.0,261170,2009-11-05
80,9794.0,9882.0,9648.0,9648.0,296090,2009-11-06
81,9444.0,9590.0,9210.0,9210.0,291820,2009-11-09
82,9210.0,9239.0,8917.0,8917.0,242450,2009-11-10
83,8917.0,9063.0,8917.0,9063.0,255010,2009-11-11
84,9063.0,9356.0,9063.0,9297.0,221650,2009-11-12
85,9297.0,9356.0,9268.0,9327.0,244650,2009-11-13
86,9327.0,9327.0,9180.0,9180.0,121650,2009-11-16
87,9180.0,9180.0,9005.0,9005.0,151170,2009-11-17
88,9005.0,9063.0,8976.0,9005.0,187600,2009-11-18
89,8946.0,9034.0,8946.0,8976.0,234250,2009-11-19
90,8976.0,9034.0,8917.0,8917.0,129660,2009-11-20
91,8800.0,8830.0,8596.0,8596.0,201440,2009-11-23
92,8479.0,8566.0,8186.0,8186.0,260020,2009-11-24
93,7777.0,7952.0,7777.0,7777.0,239410,2009-11-25
94,7426.0,7602.0,7397.0,7397.0,505360,2009-11-26
95,7105.0,7748.0,7105.0,7748.0,257220,2009-11-27
96,8099.0,8128.0,8040.0,8128.0,367620,2009-11-30
97,8508.0,8508.0,8508.0,8508.0,54280,2009-12-01
98,8771.0,8771.0,8391.0,8391.0,722530,2009-12-02
99,8362.0,8537.0,8362.0,8479.0,308130,2009-12-03
100,8479.0,8537.0,8391.0,8449.0,353490,2009-12-04
101,8479.0,8537.0,8449.0,8537.0,199070,2009-12-07
102,8537.0,8537.0,8420.0,8508.0,302510,2009-12-08
103,8099.0,8245.0,8099.0,8099.0,341100,2009-12-09
104,8333.0,8333.0,8069.0,8099.0,116540,2009-12-10
105,7923.0,8186.0,7748.0,7777.0,305170,2009-12-11
106,8128.0,8157.0,8069.0,8157.0,291760,2009-12-14
107,8245.0,8537.0,8157.0,8537.0,526060,2009-12-15
108,8537.0,8625.0,8479.0,8479.0,1193260,2009-12-16
109,8479.0,8625.0,8333.0,8625.0,358600,2009-12-17
110,8654.0,9034.0,8654.0,9034.0,936240,2009-12-18
111,9180.0,9210.0,9005.0,9180.0,272050,2009-12-21
112,9063.0,9151.0,8888.0,8917.0,297960,2009-12-22
113,8800.0,8917.0,8625.0,8625.0,253280,2009-12-23
114,8479.0,8742.0,8479.0,8479.0,664560,2009-12-24
115,8771.0,8800.0,8479.0,8596.0,379320,2009-12-25
116,8508.0,8596.0,8508.0,8566.0,185620,2009-12-28
117,8479.0,8625.0,8479.0,8625.0,226520,2009-12-29
118,8566.0,8771.0,8566.0,8654.0,154710,2009-12-30
119,8654.0,8683.0,8625.0,8625.0,227140,2009-12-31
120,8771.0,9034.0,8625.0,9034.0,273690,2010-01-04
121,9356.0,9356.0,9122.0,9210.0,412620,2010-01-05
122,8771.0,8976.0,8771.0,8800.0,395370,2010-01-06
123,8683.0,8742.0,8654.0,8654.0,175450,2010-01-07
124,8771.0,8771.0,8566.0,8566.0,258380,2010-01-08
125,8625.0,8654.0,8537.0,8654.0,237870,2010-01-11
126,8713.0,8713.0,8508.0,8508.0,247870,2010-01-12
127,8508.0,8625.0,8333.0,8508.0,190590,2010-01-13
128,8625.0,8625.0,8508.0,8508.0,77050,2010-01-14
129,8479.0,8566.0,8479.0,8479.0,199230,2010-01-15
130,8479.0,8479.0,8362.0,8362.0,143420,2010-01-18
131,8449.0,8479.0,8420.0,8449.0,101580,2010-01-19
132,8186.0,8479.0,8186.0,8186.0,96630,2010-01-20
133,8362.0,8362.0,8186.0,8186.0,191590,2010-01-21
134,8186.0,8216.0,8128.0,8186.0,135450,2010-01-22
135,8186.0,8303.0,8186.0,8303.0,130190,2010-01-25
136,8449.0,8479.0,8333.0,8479.0,120710,2010-01-26
137,8245.0,8333.0,8216.0,8216.0,47270,2010-01-27
138,8216.0,8362.0,8186.0,8333.0,154950,2010-01-28
139,8333.0,8333.0,8186.0,8186.0,101600,2010-01-29
140,8186.0,8333.0,8157.0,8157.0,38590,2010-02-01
141,8099.0,8186.0,8099.0,8157.0,52450,2010-02-02
142,8157.0,8186.0,8128.0,8128.0,93970,2010-02-03
143,8186.0,8186.0,8128.0,8186.0,88290,2010-02-04
144,8128.0,8186.0,8099.0,8099.0,99030,2010-02-05
145,8040.0,8040.0,7952.0,8040.0,116890,2010-02-08
146,8040.0,8040.0,7982.0,7982.0,51270,2010-02-09
147,8128.0,8128.0,8099.0,8128.0,46160,2010-02-10
148,8245.0,8479.0,8128.0,8479.0,148930,2010-02-11
149,8537.0,8537.0,8420.0,8479.0,103980,2010-02-12
150,8742.0,8742.0,8479.0,8742.0,265740,2010-02-22
151,8742.0,8771.0,8625.0,8771.0,523330,2010-02-23
152,8800.0,9063.0,8713.0,9063.0,717780,2010-02-24
153,9063.0,9151.0,8859.0,9151.0,729340,2010-02-25
154,9063.0,9473.0,9005.0,9473.0,1249980,2010-02-26
155,9590.0,9941.0,9590.0,9911.0,1230530,2010-03-01
156,9736.0,9794.0,9473.0,9473.0,553510,2010-03-02
157,9473.0,9473.0,9063.0,9297.0,407930,2010-03-03
158,9297.0,9619.0,9297.0,9473.0,336880,2010-03-04
159,9356.0,9473.0,9210.0,9210.0,291420,2010-03-05
160,9210.0,9210.0,9063.0,9180.0,627100,2010-03-08
161,9063.0,9356.0,9063.0,9356.0,304670,2010-03-09
162,9414.0,9444.0,9327.0,9356.0,306080,2010-03-10
163,9210.0,9356.0,9122.0,9151.0,116510,2010-03-11
164,9151.0,9210.0,9122.0,9180.0,166190,2010-03-12
165,9063.0,9268.0,9063.0,9063.0,248500,2010-03-15
166,8771.0,9034.0,8713.0,8713.0,364920,2010-03-16
167,8303.0,8713.0,8303.0,8303.0,883980,2010-03-17
168,8333.0,8449.0,8333.0,8449.0,1031040,2010-03-18
169,8069.0,8508.0,8069.0,8069.0,2030350,2010-03-19
170,8449.0,8449.0,8449.0,8449.0,194560,2010-03-22
171,8537.0,8713.0,8508.0,8537.0,297510,2010-03-23
172,8537.0,8566.0,8420.0,8479.0,292750,2010-03-24
173,8303.0,8303.0,8157.0,8245.0,386700,2010-03-25
174,8245.0,8449.0,8216.0,8449.0,372210,2010-03-26
175,8333.0,8449.0,8303.0,8449.0,161680,2010-03-29
176,8420.0,8420.0,8274.0,8274.0,69320,2010-03-30
177,8216.0,8333.0,8186.0,8186.0,138370,2010-03-31
178,8216.0,8274.0,8186.0,8274.0,87970,2010-04-01
179,8391.0,8391.0,8245.0,8245.0,146450,2010-04-02
180,8420.0,8420.0,8245.0,8245.0,222300,2010-04-05
181,8245.0,8362.0,8245.0,8333.0,241450,2010-04-06
182,8303.0,8362.0,8303.0,8303.0,80420,2010-04-07
183,8216.0,8303.0,8216.0,8245.0,120420,2010-04-08
184,8245.0,8274.0,8245.0,8245.0,146760,2010-04-09
185,8274.0,8479.0,8245.0,8479.0,341420,2010-04-12
186,8449.0,8449.0,8333.0,8333.0,245110,2010-04-13
187,8274.0,8333.0,8245.0,8274.0,90650,2010-04-14
188,8303.0,8333.0,8303.0,8303.0,114260,2010-04-15
189,8333.0,8333.0,8245.0,8245.0,75220,2010-04-16
190,8186.0,8245.0,8157.0,8186.0,138640,2010-04-19
191,8128.0,8245.0,8128.0,8157.0,154100,2010-04-20
192,8157.0,8186.0,8157.0,8186.0,138730,2010-04-21
193,8216.0,8420.0,8216.0,8303.0,194350,2010-04-22
194,8274.0,8391.0,8274.0,8274.0,158330,2010-04-26
195,8303.0,8333.0,8245.0,8274.0,156700,2010-04-27
196,8274.0,8303.0,8245.0,8274.0,79400,2010-04-28
197,8186.0,8274.0,8186.0,8274.0,207600,2010-04-29
198,8362.0,8566.0,8274.0,8537.0,579990,2010-05-04
199,8479.0,8479.0,8362.0,8391.0,151250,2010-05-05
200,8333.0,8391.0,8303.0,8333.0,98780,2010-05-06
201,8186.0,8245.0,8157.0,8216.0,226080,2010-05-07
202,8157.0,8157.0,8069.0,8099.0,314450,2010-05-10
203,8245.0,8245.0,8099.0,8128.0,124700,2010-05-11
204,8128.0,8128.0,8040.0,8040.0,219260,2010-05-12
205,8040.0,8128.0,8040.0,8128.0,169180,2010-05-13
206,8040.0,8157.0,8040.0,8040.0,115190,2010-05-14
207,8040.0,8040.0,7894.0,7894.0,246590,2010-05-17
208,7894.0,7894.0,7806.0,7865.0,186380,2010-05-18
209,7631.0,7835.0,7602.0,7631.0,196010,2010-05-19
210,7602.0,7835.0,7602.0,7835.0,195960,2010-05-20
211,7602.0,7748.0,7572.0,7572.0,336410,2010-05-21
212,7602.0,7748.0,7602.0,7689.0,112220,2010-05-24
213,7689.0,7748.0,7660.0,7689.0,96940,2010-05-25
214,7689.0,7748.0,7689.0,7689.0,231810,2010-05-26
215,7689.0,7865.0,7689.0,7865.0,152920,2010-05-27
216,7894.0,7982.0,7894.0,7894.0,76160,2010-05-28
217,7894.0,7894.0,7865.0,7894.0,143180,2010-05-31
218,7777.0,7894.0,7777.0,7865.0,279280,2010-06-01
219,7865.0,7865.0,7777.0,7777.0,72770,2010-06-02
220,7748.0,7806.0,7748.0,7748.0,110530,2010-06-03
221,7748.0,7835.0,7719.0,7748.0,57430,2010-06-04
222,7485.0,7660.0,7485.0,7602.0,134870,2010-06-07
223,7514.0,7689.0,7514.0,7602.0,181780,2010-06-08
224,7602.0,7602.0,7572.0,7602.0,106340,2010-06-09
225,7572.0,7631.0,7572.0,7602.0,121660,2010-06-10
226,7748.0,7748.0,7631.0,7660.0,61810,2010-06-11
227,7572.0,7689.0,7572.0,7602.0,42350,2010-06-14
228,7602.0,7631.0,7602.0,7631.0,121890,2010-06-15
229,7631.0,7748.0,7631.0,7748.0,248340,2010-06-16
230,7748.0,7806.0,7719.0,7806.0,158790,2010-06-17
231,7835.0,8011.0,7806.0,8011.0,453850,2010-06-18
232,7923.0,7923.0,7865.0,7894.0,72800,2010-06-21
233,7748.0,7865.0,7748.0,7835.0,53050,2010-06-22
234,7719.0,7835.0,7719.0,7835.0,66660,2010-06-23
235,7835.0,7923.0,7835.0,7865.0,120120,2010-06-24
236,7835.0,7835.0,7748.0,7748.0,85840,2010-06-25
237,7689.0,7835.0,7689.0,7835.0,71220,2010-06-28
238,7748.0,7865.0,7748.0,7865.0,64010,2010-06-29
239,7660.0,7748.0,7660.0,7719.0,117230,2010-06-30
240,7748.0,7748.0,7572.0,7572.0,101880,2010-07-01
241,7602.0,7602.0,7514.0,7543.0,279720,2010-07-02
242,7602.0,7602.0,7514.0,7514.0,57680,2010-07-05
243,7514.0,7572.0,7514.0,7514.0,48010,2010-07-06
244,7543.0,7543.0,7455.0,7455.0,54420,2010-07-07
245,7455.0,7514.0,7455.0,7485.0,51830,2010-07-08
246,7485.0,7514.0,7455.0,7485.0,40390,2010-07-09
247,7455.0,7602.0,7455.0,7514.0,62350,2010-07-12
248,7660.0,7660.0,7514.0,7660.0,101260,2010-07-13
249,7572.0,7660.0,7572.0,7572.0,39630,2010-07-14
250,7514.0,7543.0,7485.0,7514.0,61030,2010-07-15
251,7426.0,7572.0,7426.0,7455.0,20260,2010-07-16
252,7426.0,7543.0,7426.0,7485.0,81620,2010-07-19
253,7455.0,7572.0,7455.0,7485.0,48980,2010-07-20
254,7455.0,7514.0,7455.0,7485.0,96840,2010-07-21
255,7426.0,7485.0,7397.0,7397.0,48490,2010-07-22
256,7397.0,7426.0,7368.0,7397.0,54320,2010-07-23
257,7309.0,7368.0,7309.0,7338.0,78480,2010-07-26
258,7485.0,7485.0,7309.0,7368.0,154660,2010-07-27
259,7368.0,7397.0,7368.0,7368.0,171370,2010-07-28
260,7338.0,7368.0,7280.0,7280.0,61200,2010-07-29
261,7280.0,7338.0,7251.0,7309.0,78150,2010-07-30
262,7251.0,7309.0,7251.0,7251.0,21560,2010-08-02
263,7251.0,7251.0,7192.0,7192.0,57630,2010-08-03
264,7192.0,7222.0,7134.0,7134.0,76150,2010-08-04
265,7192.0,7192.0,7017.0,7017.0,68090,2010-08-05
266,7017.0,7105.0,7017.0,7075.0,119770,2010-08-06
267,7163.0,7163.0,7017.0,7017.0,73630,2010-08-09
268,6871.0,6958.0,6754.0,6754.0,78680,2010-08-10
269,6724.0,6841.0,6724.0,6783.0,115100,2010-08-11
270,6724.0,6783.0,6578.0,6578.0,179110,2010-08-12
271,6315.0,6666.0,6315.0,6578.0,119450,2010-08-13
272,6754.0,6812.0,6724.0,6783.0,45260,2010-08-16
273,6783.0,6783.0,6637.0,6783.0,74390,2010-08-17
274,6783.0,6783.0,6724.0,6724.0,49890,2010-08-18
275,6695.0,6754.0,6695.0,6754.0,96700,2010-08-19
276,6637.0,6754.0,6637.0,6754.0,33870,2010-08-20
277,6578.0,6724.0,6578.0,6578.0,132630,2010-08-23
278,6344.0,6432.0,6315.0,6315.0,160760,2010-08-24
279,6140.0,6227.0,6023.0,6052.0,359790,2010-08-25
280,6052.0,6198.0,6052.0,6111.0,293440,2010-08-26
281,6286.0,6403.0,6140.0,6286.0,344830,2010-08-27
282,6578.0,6578.0,6461.0,6491.0,597690,2010-08-30
283,6461.0,6695.0,6461.0,6461.0,751120,2010-08-31
284,6608.0,6783.0,6491.0,6783.0,445820,2010-09-01
285,7105.0,7105.0,7035.0,7105.0,161540,2010-09-06
286,7140.0,7176.0,7105.0,7105.0,188960,2010-09-07
287,7140.0,7140.0,7000.0,7000.0,107540,2010-09-08
288,7035.0,7105.0,7000.0,7035.0,128460,2010-09-09
289,7035.0,7070.0,6965.0,6965.0,161890,2010-09-10
