,Open,High,Low,Close,Volume,TradingDate,H-L,O-C,ME_5,ME_10,ME_15,ME_20,ME_25,ME_30,RANK_5,RANK_10,RANK_15,RANK_20,RANK_25,RANK_30,VAR_5,VAR_10,VAR_15,VAR_20,VAR_25,VAR_30,SMA_5,SMA_10,SMA_15,SMA_20,SMA_25,SMA_30,SD_5,SD_10,SD_15,SD_20,SD_25,SD_30,Ske_5,Ske_10,Ske_15,Ske_20,Ske_25,Ske_30,Kur_5,Kur_10,Kur_15,Kur_20,Kur_25,Kur_30
29,12130.0,12130.0,11753.0,11942.0,10907690,2023-03-31,377.0,188.0,12036.0,11942.0,11800.0,11847.0,11753.0,11776.5,1.0,5.5,9.5,12.5,17.5,20.5,16229.299999999808,43146.71111111051,57369.457142857915,78222.99736842082,132508.506666667,121140.59885057485,12064.4,11913.4,11844.2,11842.55,11726.44,11732.433333333332,127.3942698868352,207.71786420794555,239.51922082133183,279.6837452702978,364.01717908179415,348.0525805831281,1.3438393999317169,-0.24821472608912712,-0.00869666124342818,-0.09667299038098819,-0.49458029821185084,-0.5402794429076205,2.0372066520308842,0.7379389919941153,-0.8066491591801992,-0.8423477908955904,0.16263843263101285,0.19530941092131388
30,12130.0,12225.0,11942.0,12225.0,9465778,2023-04-03,283.0,-95.0,12083.0,11965.5,11942.0,11918.0,11800.0,11800.0,4.0,9.0,14.0,18.0,23.0,28.0,20689.699999999782,30906.177777777295,55010.98095238162,69869.09473684158,133112.66666666727,128565.05862068982,12102.2,11984.2,11894.533333333333,11887.4,11764.2,11752.9,143.83914627110306,175.80152950920905,234.5441982918819,264.32762764577143,364.8460862701795,358.5597002183734,0.16499497664111346,0.35521230653681923,-0.07690195222064662,-0.07730652698239016,-0.6319724110356865,-0.5806240408177785,-2.505281113880818,-0.7996259061514525,-0.8361867033823526,-1.0530983478257196,0.42442521621968166,0.07774149877719891
31,12319.0,12555.0,12130.0,12272.0,12211509,2023-04-04,425.0,47.0,12225.0,12012.5,11942.0,11942.0,11800.0,11800.0,4.5,9.5,14.5,18.5,23.5,28.5,26019.499999999778,38701.51111111073,61123.780952381494,68933.29210526237,102272.6266666677,136498.7137931036,12140.0,12017.2,11932.266666666666,11925.15,11822.72,11763.9,161.3056105657822,196.7269963963023,247.23224092415919,262.55150371929386,319.80091723862785,369.45732337186604,-0.5947851264775106,0.05412133981131595,-0.26849731931397575,-0.2136154814732693,-0.15389676184851167,-0.5289524235754368,-2.9849082360024006,-1.4731370882917152,-0.8309151816451638,-0.957773457476896,-0.9571111001548265,-0.07951728326071691
32,12178.0,12366.0,12036.0,12178.0,9569816,2023-04-05,330.0,0.0,12178.0,12059.5,11942.0,11942.0,11894.0,11800.0,3.0,7.0,12.0,17.0,21.0,26.0,21582.699999999764,31811.788888888594,62633.26666666718,64081.778947367704,104114.62666666789,141253.9781609197,12121.2,12059.7,11935.466666666667,11918.1,11847.28,11771.766666666666,146.91051698227653,178.3585963414396,250.2663914045735,253.14379105039828,322.6679820909845,375.8377018886207,-0.43813545186103425,-0.28653372935325444,-0.2657422750600534,-0.3074327926029744,-0.31472897721905685,-0.5242705351227009,-2.685915453973294,-1.2508697216642375,-0.8949047627978257,-0.9521753085742838,-0.9182189925611537,-0.18763073877255465
33,12272.0,12650.0,12083.0,12083.0,18061298,2023-04-06,567.0,189.0,12178.0,12083.0,11989.0,11942.0,11942.0,11800.0,2.0,5.5,10.5,14.5,17.5,22.5,17136.499999999734,23488.44444444421,59750.114285714684,63143.88157894666,86868.30666666811,142956.78275862086,12140.0,12088.0,11960.6,11915.75,11883.16,11774.9,130.90645515023212,153.25940246668134,244.4383650037667,251.28446346510694,294.73429842261,378.0962612333278,-0.9247291537634146,-0.47655881944040074,-0.5561656339090514,-0.30167469663277735,-0.27728314428084966,-0.527969197964429,0.1105425497244615,-0.3248427522586087,-0.4743624048118318,-0.9125449450161287,-1.117799073796186,-0.22777646235236154
34,12083.0,12178.0,11942.0,12083.0,6145340,2023-04-07,236.0,0.0,12178.0,12083.0,12036.0,11965.5,11942.0,11847.0,1.5,5.0,10.0,14.0,17.0,22.0,7153.699999999753,13385.344444444207,45238.95238095258,64497.22105263084,80793.4766666683,138687.99540229907,12168.2,12116.3,11998.333333333334,11925.2,11907.68,11800.066666666668,84.57954835537817,115.69504935149216,212.69450482077005,253.96303087778512,284.2419333361429,372.4083718209072,0.045201051932544534,0.09699951288795476,-0.7017933962285238,-0.3995841284292062,-0.43633354439942124,-0.6853219073254702,-2.3358131634464123,-1.2203766295127356,0.28311791748284393,-0.9459717425504929,-0.8647056852168392,0.07745643345326722
35,12036.0,12178.0,11422.0,11517.0,20291248,2023-04-10,756.0,519.0,12083.0,12083.0,12036.0,11965.5,11942.0,11847.0,1.0,1.0,1.0,2.0,3.5,7.5,87299.29999999983,49582.711111110664,45238.95238095258,62355.62894736768,73092.35666666838,132096.27126436803,12026.6,12064.4,11998.333333333334,11927.55,11915.24,11807.933333333332,295.46454948098227,222.6717564288535,212.69450482077005,249.7110909578661,270.3559813776429,363.45050731064885,-1.837189587496945,-1.7959774840262737,-0.7017933962285238,-0.3529283154864818,-0.28851733314954403,-0.7166690010620034,3.74561783100692,4.058324331647375,0.28311791748284393,-1.0309478833565069,-1.1647340626492697,0.3336762925985973
36,11517.0,11800.0,11375.0,11753.0,6312693,2023-04-11,425.0,-236.0,12083.0,12083.0,12036.0,11965.5,11942.0,11847.0,2.0,2.0,2.5,5.5,7.5,12.5,77490.19999999981,59108.71111111048,49141.35238095263,61369.98947368347,67488.14333333507,96766.8000000003,11922.8,12031.4,11985.733333333334,11929.9,11924.68,11839.4,278.3706162654381,243.12283132423102,221.67848876459038,247.7296701521307,259.7848019675806,311.07362472572356,-0.9054802732006136,-1.1592371303518034,-0.5332664469048829,-0.3717128927433305,-0.2916168812715347,-0.24609398006427344,-1.024768523582691,0.950176550961824,-0.362036953041177,-0.961456577446581,-1.0230144706616222,-0.968570266227503
37,11753.0,11894.0,11517.0,11658.0,6870337,2023-04-12,377.0,95.0,11753.0,12036.0,12036.0,11942.0,11942.0,11847.0,2.0,2.0,2.0,4.0,5.0,9.0,65218.19999999971,63979.77777777686,52901.54285714311,62567.37894736775,63244.52333333498,95275.98160919569,11818.8,11970.0,11979.4,11906.3,11898.24,11842.533333333333,255.37854255986292,252.9422419798181,230.00335401281242,250.13472159491923,251.48463836452314,308.6680767575353,0.1238749361720907,-0.6655974631702777,-0.5351436059933413,-0.15066414446118256,-0.2058979696808575,-0.2657803144556031,-2.496183586694317,-0.6843664357908865,-0.5769675754242718,-1.131564395950702,-1.1347741718266426,-0.9040528460930833
38,11658.0,11706.0,11470.0,11470.0,5272975,2023-04-13,236.0,188.0,11658.0,12012.5,12036.0,11942.0,11894.0,11847.0,1.0,1.0,1.0,1.0,1.5,3.0,59394.699999999706,88724.54444444334,68618.97142857178,70328.05263157829,67921.7233333349,85105.51724137967,11696.2,11918.1,11957.4,11894.5,11871.84,11852.0,243.71027881482493,297.8666554759753,261.95223119601746,265.1943676467852,260.6179643334951,291.7284991929648,1.1706846233271164,-0.403789179130573,-0.6504061014222745,-0.2132229207478246,-0.08628700149240784,-0.07498330249008239,1.2290871826102883,-1.5079841877220457,-0.6811078766177701,-1.1910658919966952,-1.201829386840269,-1.2596504811441118
